Filadelfia comune,Filadelfia comune.1
,
Filadelfia – VedutaLa fontana di Filadelfia,Filadelfia – VedutaLa fontana di Filadelfia
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Anna Bartucca (lista civica Coraggio Filadelfia) dal 4-10-2021
Data di istituzione,16 aprile 1783
Territorio,Territorio
Coordinate,38°47′02″N 16°17′28″E
Altitudine,570 m s.l.m.
Superficie,"31,5 km²"
Abitanti,4 947[1] (30-11-2025)
Densità,"157,05 ab./km²"
Frazioni,"Montesoro, vedi sezione"
Comuni confinanti,"Curinga (CZ), Francavilla Angitola, Jacurso (CZ), Polia"
Altre informazioni,Altre informazioni
Cod. postale,89814
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,102011
Cod. catastale,D587
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 857 GG[3]"
Nome abitanti,filadelfiesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Filadelfia,Filadelfia
Filadelfia – MappaPosizione del comune di Filadelfia nella provincia di Vibo Valentia,Filadelfia – MappaPosizione del comune di Filadelfia nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
