Nardodipace comune,Nardodipace comune.1
,
Nardodipace – VedutaVia di Nardodipace,Nardodipace – VedutaVia di Nardodipace
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Romano Loielo (lista civica Uniti per Nardodipace) dal 16-5-2023
Territorio,Territorio
Coordinate,38°27′53.16″N 16°20′27.02″E
Altitudine,1 080 m s.l.m.
Superficie,"33,3 km²"
Abitanti,1 022[1] (30-11-2025)
Densità,"30,69 ab./km²"
Frazioni,"Albani, Cassari, Ragonà, Santo Todaro, Vecchio Abitato"
Comuni confinanti,"Caulonia (RC), Fabrizia, Martone (RC), Mongiana, Pazzano (RC), Roccella Ionica (RC), Stilo (RC)"
Altre informazioni,Altre informazioni
Cod. postale,"89824, 88020 (fino al 1997)"
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102024
Cod. catastale,F843
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 017 GG[3]"
Nome abitanti,nardodipacesi o nardopacesi
Patrono,santa Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Nardodipace,Nardodipace
Nardodipace – MappaPosizione del comune di Nardodipace nella provincia di Vibo Valentia,Nardodipace – MappaPosizione del comune di Nardodipace nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
