Dasà comune,Dasà comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Raffaele Scaturchio (lista civica Dasà insieme) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,38°33′59.11″N 16°10′49.73″E
Altitudine,258 m s.l.m.
Superficie,"6,46 km²"
Abitanti,1 066[1] (30-11-2025)
Densità,"165,02 ab./km²"
Comuni confinanti,"Acquaro, Arena, Dinami, Gerocarne"
Altre informazioni,Altre informazioni
Cod. postale,89832
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102007
Cod. catastale,D253
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,dasaesi
Patrono,san Nicola da Bari e san Michele Arcangelo
Giorno festivo,"6 dicembre, primo martedì dopo Pasqua ('Ncrinata)"
Cartografia,Cartografia
Dasà,Dasà
Dasà – MappaPosizione del comune di Dasà nella provincia di Vibo Valentia,Dasà – MappaPosizione del comune di Dasà nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
