Vibo Valentia comune,Vibo Valentia comune.1
,
Vibo Valentia – Veduta,Vibo Valentia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Enzo Romeo (indipendente di centro-sinistra) dal 27-6-2024
Territorio,Territorio
Coordinate,38°40′31″N 16°05′45.24″E
Altitudine,476 m s.l.m.
Superficie,"46,57 km²"
Abitanti,30 781[1] (30-11-2025)
Densità,"660,96 ab./km²"
Frazioni,vedi Frazioni
Comuni confinanti,"Briatico, Cessaniti, Filandari, Francica, Mileto, Jonadi, Pizzo, San Gregorio d'Ippona, Sant'Onofrio, Stefanaconi"
Altre informazioni,Altre informazioni
Cod. postale,89900
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102047
Cod. catastale,F537
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 586 GG[3]"
Nome abitanti,vibonesi
Patrono,san Leoluca
Giorno festivo,1º marzo
Cartografia,Cartografia
Vibo Valentia,Vibo Valentia
Vibo Valentia – MappaPosizione del comune di Vibo Valentia nell'omonima provincia.,Vibo Valentia – MappaPosizione del comune di Vibo Valentia nell'omonima provincia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
