Zungri comune,Zungri comune.1
,
Zungri – Veduta,Zungri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Serafino Fiamingo (lista civica) dal 10-6-2024
Data di istituzione,1811
Territorio,Territorio
Coordinate,38°39′N 15°59′E
Altitudine,554 m s.l.m.
Superficie,"23,46 km²"
Abitanti,1 796[1] (30-11-2025)
Densità,"76,56 ab./km²"
Frazioni,Papaglionti
Comuni confinanti,"Briatico, Cessaniti, Drapia, Filandari, Rombiolo, Spilinga, Zaccanopoli"
Altre informazioni,Altre informazioni
Cod. postale,89867
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102050
Cod. catastale,M204
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,zungresi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Zungri,Zungri
Zungri – MappaPosizione del comune di Zungri nella provincia di Vibo Valentia,Zungri – MappaPosizione del comune di Zungri nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
