Soriano Calabro comune,Soriano Calabro comune.1
,
Soriano Calabro – Veduta,Soriano Calabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Antonino Vittorio De Nardo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,38°37′04.56″N 16°12′25.51″E
Altitudine,268 m s.l.m.
Superficie,"15,44 km²"
Abitanti,2 775[1] (30-11-2025)
Densità,"179,73 ab./km²"
Comuni confinanti,"Gerocarne, Pizzoni, Sorianello, Stefanaconi"
Altre informazioni,Altre informazioni
Cod. postale,89831
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102040
Cod. catastale,I854
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sorianesi o surianiti
Patrono,san Martino Vescovo
Giorno festivo,11 novembre
Cartografia,Cartografia
Soriano Calabro,Soriano Calabro
Soriano Calabro – MappaPosizione del comune di Soriano Calabro nella provincia di Vibo Valentia,Soriano Calabro – MappaPosizione del comune di Soriano Calabro nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
