Mileto comune,Mileto comune.1
,
Mileto – Veduta,Mileto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Salvatore Fortunato Giordano (lista civica di centro-destra Città futura) dal 27-5-2019
Territorio,Territorio
Coordinate,38°36′28.08″N 16°04′03.04″E
Altitudine,365 m s.l.m.
Superficie,"35,65 km²"
Abitanti,6 232[1] (30-11-2025)
Densità,"174,81 ab./km²"
Frazioni,"Calabrò, Comparni, Paravati, San Giovanni"
Comuni confinanti,"Candidoni (RC), Dinami, Filandari, Francica, Gerocarne, Jonadi, San Calogero, San Costantino Calabro, Serrata (RC)"
Altre informazioni,Altre informazioni
Cod. postale,89852
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102021
Cod. catastale,F207
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 241 GG[3]"
Nome abitanti,miletesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mileto,Mileto
Mileto – MappaPosizione del comune di Mileto nella provincia di Vibo Valentia,Mileto – MappaPosizione del comune di Mileto nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
