Sant'Onofrio comune,Sant'Onofrio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Antonino Pezzo (lista civica di centro-destra Coraggio Sant'Onofrio) dal 4-10-2021
Territorio,Territorio
Coordinate,38°42′N 16°09′E
Altitudine,350 m s.l.m.
Superficie,"18,66 km²"
Abitanti,2 659[1] (30-11-2025)
Densità,"142,5 ab./km²"
Comuni confinanti,"Filogaso, Maierato, Pizzo, Stefanaconi, Vazzano, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89843
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102036
Cod. catastale,I350
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,santonofresi
Patrono,sant'Onofrio eremita di Catanzaro
Cartografia,Cartografia
Sant'Onofrio,Sant'Onofrio
Sant'Onofrio – MappaPosizione del comune di Sant'Onofrio nella provincia di Vibo Valentia,Sant'Onofrio – MappaPosizione del comune di Sant'Onofrio nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
