Jonadi comune,Jonadi comune.1
,
Jonadi – VedutaPiazza S. Nicola,Jonadi – VedutaPiazza S. Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Fabio Signoretta (+E) dal 13-6-2022
Territorio,Territorio
Coordinate,38°38′N 16°03′E
Altitudine,430 m s.l.m.
Superficie,"8,7 km²"
Abitanti,4 763[1] (30-11-2025)
Densità,"547,47 ab./km²"
Frazioni,"Baracconi, Case Sparse, Nao, Vena"
Comuni confinanti,"Filandari, Mileto, San Costantino Calabro, San Gregorio d'Ippona, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89851
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102017
Cod. catastale,E321
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,jonadesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Jonadi,Jonadi
Jonadi – MappaPosizione del comune di Ionadi nella provincia di Vibo Valentia,Jonadi – MappaPosizione del comune di Ionadi nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
