Francica comune,Francica comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Michele Mesiano (lista civica Liberi di cambiare) dal 4-10-2021
Territorio,Territorio
Coordinate,38°37′N 16°06′E
Altitudine,322 m s.l.m.
Superficie,"22,7 km²"
Abitanti,1 609[1] (30-11-2025)
Densità,"70,88 ab./km²"
Frazioni,Mutari
Comuni confinanti,"Gerocarne, Dinami, Mileto, San Costantino Calabro, San Gregorio d'Ippona, Stefanaconi, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89851
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102015
Cod. catastale,D767
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,francicoti
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio e ultima domenica di agosto
Cartografia,Cartografia
Francica,Francica
Francica – MappaPosizione del comune di Francica nella provincia di Vibo Valentia,Francica – MappaPosizione del comune di Francica nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
