Capistrano comune,Capistrano comune.1
,
Capistrano – VedutaChiesa Matrice di San Nicola,Capistrano – VedutaChiesa Matrice di San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Marco Martino (Rinascita Capistranese) dal 24-11-2025
Territorio,Territorio
Coordinate,38°41′31.58″N 16°17′21.99″E
Altitudine,352 m s.l.m.
Superficie,"21,12 km²"
Abitanti,931[1] (30-11-2025)
Densità,"44,08 ab./km²"
Frazioni,Nicastrello
Comuni confinanti,"Chiaravalle Centrale (CZ), Filogaso, Maierato, Monterosso Calabro, San Nicola da Crissa, San Vito sullo Ionio (CZ), Torre di Ruggiero (CZ)"
Altre informazioni,Altre informazioni
Cod. postale,89818
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102005
Cod. catastale,B655
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 399 GG[3]"
Nome abitanti,capistranesi
Patrono,san Nicola e Madonna della Montagna
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Capistrano,Capistrano
Capistrano – MappaPosizione del comune di Capistrano nella provincia di Vibo Valentia,Capistrano – MappaPosizione del comune di Capistrano nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
