Pizzo comune,Pizzo comune.1
,
Pizzo – Veduta,Pizzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Sergio Pititto (lista civica Adesso Pizzo) dal 12-6-2022
Territorio,Territorio
Coordinate,38°44′N 16°10′E
Altitudine,44 m s.l.m.
Superficie,"22,89 km²"
Abitanti,8 671[1] (30-11-2025)
Densità,"378,81 ab./km²"
Frazioni,"Prangi, Nazionale, Marina, Marinella, Colamaio"
Comuni confinanti,"Curinga (CZ), Francavilla Angitola, Maierato, Sant'Onofrio, Vibo Valentia"
Altre informazioni,Altre informazioni
Cod. postale,89812
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102027
Cod. catastale,F537
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,napitini o pizzitani (locale)
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Pizzo,Pizzo
Pizzo – MappaPosizione del comune di Pizzo nella provincia di Vibo Valentia,Pizzo – MappaPosizione del comune di Pizzo nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
