San Calogero comune,San Calogero comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Giuseppe Maruca (lista civica La libertà) dal 21-9-2020
Territorio,Territorio
Coordinate,38°34′N 16°01′E
Altitudine,261 m s.l.m.
Superficie,"25,34 km²"
Abitanti,3 710[1] (30-11-2025)
Densità,"146,41 ab./km²"
Frazioni,"Tra frazioni e località: Calimera, San Pietro, Iemmino, Casalello, Piana delle Querce, La Tranquilla, Torretta, Torre di Campo, Sant'Opolo."
Comuni confinanti,"Candidoni (RC), Filandari, Limbadi, Mileto, Rombiolo"
Altre informazioni,Altre informazioni
Cod. postale,89842
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102032
Cod. catastale,H785
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona A, 1,297 GG[3]"
Nome abitanti,sancalogeresi
Patrono,Maria Santissima Immacolata
Giorno festivo,8 dicembre
Cartografia,Cartografia
San Calogero,San Calogero
San Calogero – MappaPosizione del comune di San Calogero nella provincia di Vibo Valentia,San Calogero – MappaPosizione del comune di San Calogero nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
