Spìlinga comune,Spìlinga comune.1
,
Spìlinga – Veduta,Spìlinga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Enzo Fulvio Marasco (lista civica Spilinga unita) dal 21-9-2020
Territorio,Territorio
Coordinate,38°37′N 15°54′E
Altitudine,455 m s.l.m.
Superficie,"17,42 km²"
Abitanti,1 345[1] (30-11-2025)
Densità,"77,21 ab./km²"
Frazioni,"Panaia, Carciadi"
Comuni confinanti,"Drapia, Joppolo, Limbadi, Nicotera, Ricadi, Rombiolo, Zungri"
Altre informazioni,Altre informazioni
Cod. postale,89864
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102042
Cod. catastale,I905
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,spilingesi (o spilingoti)
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Spìlinga,Spìlinga
Spìlinga – MappaPosizione del comune di Spilinga nella provincia di Vibo Valentia,Spìlinga – MappaPosizione del comune di Spilinga nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
