Parghelia comune,Parghelia comune.1
,
Parghelia – Veduta,Parghelia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Antonio Landro (lista civica Parghelia democratica) dal 10-6-2018
Territorio,Territorio
Coordinate,38°41′N 15°55′E
Altitudine,80 m s.l.m.
Superficie,"7,95 km²"
Abitanti,1 273[1] (30-11-2025)
Densità,"160,13 ab./km²"
Frazioni,Fitili
Comuni confinanti,"Drapia, Tropea, Zaccanopoli, Zambrone"
Altre informazioni,Altre informazioni
Cod. postale,89861
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102026
Cod. catastale,G335
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,pargheliesi o parghelioti
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Parghelia,Parghelia
Parghelia – MappaPosizione del comune di Parghelia nella provincia di Vibo Valentia,Parghelia – MappaPosizione del comune di Parghelia nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
