Francavilla Angitola comune,Francavilla Angitola comune.1
,
Francavilla Angitola – Veduta,Francavilla Angitola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Giuseppe Pizzonia (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,38°47′N 16°16′E
Altitudine,290 m s.l.m.
Superficie,"28,63 km²"
Abitanti,1 796[1] (30-11-2025)
Densità,"62,73 ab./km²"
Frazioni,"Carcarella, Eccellente, Fra Giuseppe, Francavilla Scalo, Molino, Sordo"
Comuni confinanti,"Curinga (CZ), Filadelfia, Maierato, Pizzo, Polia"
Altre informazioni,Altre informazioni
Cod. postale,89815
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,102014
Cod. catastale,D762
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 269 GG[3]"
Nome abitanti,francavillesi
Patrono,san Foca
Giorno festivo,5 marzo
Cartografia,Cartografia
Francavilla Angitola,Francavilla Angitola
Francavilla Angitola – MappaPosizione del comune di Francavilla Angitola nella provincia di Vibo Valentia,Francavilla Angitola – MappaPosizione del comune di Francavilla Angitola nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
