Drapia comune,Drapia comune.1
,
Drapia – VedutaDrapia vista dalla Collina Cardillo,Drapia – VedutaDrapia vista dalla Collina Cardillo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Alessandro Porcelli (lista civica Insieme per il futuro) dal 27-5-2019
Territorio,Territorio
Coordinate,38°40′N 15°55′E
Altitudine,262 m s.l.m.
Superficie,"21,59 km²"
Abitanti,2 095[1] (30-11-2025)
Densità,"97,04 ab./km²"
Frazioni,"Brattirò, Carìa, Gasponi"
Comuni confinanti,"Parghelia, Ricadi, Spilinga, Tropea, Zaccanopoli, Zungri"
Altre informazioni,Altre informazioni
Cod. postale,89862
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102009
Cod. catastale,D364
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,drapiesi
Patrono,san Sergio Martire
Giorno festivo,7 ottobre
Cartografia,Cartografia
Drapia,Drapia
Drapia – MappaPosizione del comune di Drapia nella provincia di Vibo Valentia,Drapia – MappaPosizione del comune di Drapia nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
