San Costantino Calabro comune,San Costantino Calabro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Nicola Derito (lista civica Rinascita Prosperità e Cultura) dal 13-6-2022
Territorio,Territorio
Coordinate,38°37′34.07″N 16°05′12.18″E
Altitudine,454 m s.l.m.
Superficie,"6,79 km²"
Abitanti,2 032[1] (30-11-2025)
Densità,"299,26 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Francica, Jonadi, Mileto, San Gregorio d'Ippona"
Altre informazioni,Altre informazioni
Cod. postale,89851
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102033
Cod. catastale,H807
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sancostantinesi
Patrono,san Costantino Vescovo
Giorno festivo,21 maggio
Cartografia,Cartografia
San Costantino Calabro,San Costantino Calabro
San Costantino Calabro – MappaPosizione del comune di San Costantino Calabro nella provincia di Vibo Valentia,San Costantino Calabro – MappaPosizione del comune di San Costantino Calabro nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
