Gerocarne comune,Gerocarne comune.1
,
Gerocarne – VedutaPanorama,Gerocarne – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Vibo Valentia
Amministrazione,Amministrazione
Sindaco,Pasquale Vivona (lista civica Gerocarne Futura) dal 15-5-2023
Territorio,Territorio
Coordinate,38°35′N 16°13′E
Altitudine,241 m s.l.m.
Superficie,"45,23 km²"
Abitanti,1 862[1] (30-11-2025)
Densità,"41,17 ab./km²"
Frazioni,"Ariola, Ciano, Sant'Angelo"
Comuni confinanti,"Arena, Dasà, Dinami, Francica, Mileto, Serra San Bruno, Sorianello, Soriano Calabro, Spadola, Stefanaconi"
Altre informazioni,Altre informazioni
Cod. postale,89831
Prefisso,0963
Fuso orario,UTC+1
Codice ISTAT,102016
Cod. catastale,D988
Targa,VV
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,gerocarnesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Gerocarne,Gerocarne
Gerocarne – MappaPosizione del comune di Gerocarne nella provincia di Vibo Valentia,Gerocarne – MappaPosizione del comune di Gerocarne nella provincia di Vibo Valentia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
