Giba comune,Giba comune.1
(IT) Giba (SC) Gìba,(IT) Giba (SC) Gìba
,
Giba – Veduta,Giba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Andrea Pisanu (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°04′19.6″N 8°38′07.99″E
Altitudine,59 m s.l.m.
Superficie,"30,44 km²"
Abitanti,1 909[1] (31-12-2023)
Densità,"62,71 ab./km²"
Frazioni,"Porto Botte, Villarios"
Comuni confinanti,"Masainas, Piscinas, San Giovanni Suergiu, Tratalias"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111028
Cod. catastale,E022
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) gibesi (SC) gibesus
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Giba,Giba
Giba – MappaPosizione del comune di Giba nella provincia del Sulcis-Iglesiente,Giba – MappaPosizione del comune di Giba nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
