Nuxis comune,Nuxis comune.1
"(IT) Nuxis (SC) Nùxis, Nùcis","(IT) Nuxis (SC) Nùxis, Nùcis"
,
Nuxis – VedutaVista di Nuxis da Narcao,Nuxis – VedutaVista di Nuxis da Narcao
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Romeo Ghilleri (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°09′14.49″N 8°44′22.65″E
Altitudine,196 m s.l.m.
Superficie,"61,59 km²"
Abitanti,1 385[1] (30-11-2025)
Densità,"22,49 ab./km²"
Comuni confinanti,"Assemini (CA) (isola amministrativa di San Leone), Narcao, Santadi, Siliqua, Villaperuccio"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111049
Cod. catastale,F991
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nusciai (SC) nuxesus/nucesus
Cartografia,Cartografia
Nuxis,Nuxis
Nuxis – MappaPosizione del comune di Nuxis nella provincia del Sulcis-Iglesiente,Nuxis – MappaPosizione del comune di Nuxis nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
