Perdaxius comune,Perdaxius comune.1
(IT) Perdaxius (SC) Perdaxus,(IT) Perdaxius (SC) Perdaxus
,
Perdaxius – VedutaVista del paese dalla SP78 per Carbonia,Perdaxius – VedutaVista del paese dalla SP78 per Carbonia
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Gianluigi Loru (lista civica) dall'11-10-2021
Data di istituzione,10 agosto 1958
Territorio,Territorio
Coordinate,39°09′39.89″N 8°36′44.57″E
Altitudine,98 m s.l.m.
Superficie,"29,5 km²"
Abitanti,1 279[1] (30-11-2025)
Densità,"43,36 ab./km²"
Comuni confinanti,"Carbonia, Narcao, Tratalias, Villaperuccio"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111054
Cod. catastale,G446
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) perdaxini (SC) perdaxinus
Cartografia,Cartografia
Perdaxius,Perdaxius
Perdaxius – MappaPosizione del comune di Perdaxius nella provincia del Sulcis-Iglesiente,Perdaxius – MappaPosizione del comune di Perdaxius nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
