Sant'Anna Arresi comune,Sant'Anna Arresi comune.1
(IT) Sant'Anna Arresi (SC) Arrèsi,(IT) Sant'Anna Arresi (SC) Arrèsi
,
Sant'Anna Arresi – Veduta,Sant'Anna Arresi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Paolo Luigi Dessì (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,39°00′13.84″N 8°38′36.58″E
Altitudine,77 m s.l.m.
Superficie,"36,68 km²"
Abitanti,2 625[1] (30-11-2025)
Densità,"71,56 ab./km²"
Frazioni,"Porto Pino, Is Pillonis, Is Cinus"
Comuni confinanti,"Masainas, Teulada"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111070
Cod. catastale,M209
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) arresini (SC) arresinus
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Sant'Anna Arresi,Sant'Anna Arresi
Sant'Anna Arresi – MappaPosizione del comune di Sant'Anna Arresi all'interno della provincia del Sulcis Iglesiente,Sant'Anna Arresi – MappaPosizione del comune di Sant'Anna Arresi all'interno della provincia del Sulcis Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
