San Giovanni Suergiu comune,San Giovanni Suergiu comune.1
"(IT) San Giovanni Suergiu (SC) Santu Giuànni Suèrgiu, Santu Juànni Sruèxu","(IT) San Giovanni Suergiu (SC) Santu Giuànni Suèrgiu, Santu Juànni Sruèxu"
,
San Giovanni Suergiu – VedutaVista dell'abitato da Tratalias,San Giovanni Suergiu – VedutaVista dell'abitato da Tratalias
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Elvira Usai (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,39°06′39.42″N 8°31′21.05″E
Altitudine,16 m s.l.m.
Superficie,"72,37 km²"
Abitanti,5 527[1] (30-11-2025)
Densità,"76,37 ab./km²"
Frazioni,"Bruncuteula (condivisa con il comune di Portoscuso), Matzaccara, Is Urigus, Palmas"
Comuni confinanti,"Carbonia, Giba, Portoscuso, Sant'Antioco, Tratalias"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111063
Cod. catastale,G287
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona B, 766 GG[3]"
Nome abitanti,(IT) sangiovannesi (SC) santuannesus
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
San Giovanni Suergiu,San Giovanni Suergiu
San Giovanni Suergiu – MappaPosizione del comune di San Giovanni Suergiu nella provincia del Sulcis-Iglesiente,San Giovanni Suergiu – MappaPosizione del comune di San Giovanni Suergiu nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
