Sant'Antioco comune,Sant'Antioco comune.1
"(IT) Sant'Antioco (SC) Santu Antiògu, Sant'Antiògu","(IT) Sant'Antioco (SC) Santu Antiògu, Sant'Antiògu"
,
Sant'Antioco – VedutaVista dell'abitato da Matzaccara,Sant'Antioco – VedutaVista dell'abitato da Matzaccara
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Ignazio Locci (Fratelli d'Italia) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°03′58.93″N 8°27′16.13″E
Altitudine,7 m s.l.m.
Superficie,"87,9 km²"
Abitanti,10 418[1] (30-11-2025)
Densità,"118,52 ab./km²"
Frazioni,"Maladroxia, Is Loddis, Peonia Rosa, Cannai"
Comuni confinanti,"Calasetta, San Giovanni Suergiu"
Altre informazioni,Altre informazioni
Cod. postale,09017
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111071
Cod. catastale,I294
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) antiochensi (SC) antiochesus
Patrono,sant'Antioco
Giorno festivo,il 15º giorno dopo la Pasqua
Cartografia,Cartografia
Sant'Antioco,Sant'Antioco
Sant'Antioco – MappaPosizione del comune di Sant'Antioco all'interno della provincia del Sulcis Iglesiente,Sant'Antioco – MappaPosizione del comune di Sant'Antioco all'interno della provincia del Sulcis Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
