Tratalias comune,Tratalias comune.1
"(IT, SC) Tratalias","(IT, SC) Tratalias"
,
Tratalias – VedutaVista della parte nuova dell'abitato,Tratalias – VedutaVista della parte nuova dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Sulcis Iglesiente
Amministrazione,Amministrazione
Sindaco,Emanuele Pes (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°06′09.45″N 8°34′44.84″E
Altitudine,17 m s.l.m.
Superficie,31 km²
Abitanti,989[1] (30-11-2025)
Densità,"31,9 ab./km²"
Comuni confinanti,"Carbonia, Giba, Perdaxius, Piscinas, San Giovanni Suergiu, Villaperuccio"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,0781
Fuso orario,UTC+1
Codice ISTAT,111090
Cod. catastale,L337
Targa,CI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) trataliesi (SC) trataliesus
Patrono,santa Maria di Monserrato
Cartografia,Cartografia
Tratalias,Tratalias
Tratalias – MappaPosizione del comune di Tratalias nella provincia del Sulcis-Iglesiente,Tratalias – MappaPosizione del comune di Tratalias nella provincia del Sulcis-Iglesiente
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
