Assisi comune,Assisi comune.1
,
Assisi – VedutaVista della cittadina,Assisi – VedutaVista della cittadina
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Valter Stoppini (PD) dal 29-5-2025
Territorio,Territorio
Coordinate,43°04′14.92″N 12°36′53.99″E
Altitudine,424 m s.l.m.
Superficie,"187,19 km²"
Abitanti,27 429[1] (30-11-2025)
Densità,"146,53 ab./km²"
Frazioni,"Armenzano, Capodacqua, Castelnuovo, Colle delle Forche, Costa di Trex, Mora, Palazzo, Paradiso, Passaggio d'Assisi, Petrignano, Pieve San Nicolò, Porziano, Rivotorto, Rocca Sant'Angelo, San Gregorio, Santa Maria degli Angeli, Santa Maria Lignano, San Presto, Sterpeto, Torchiagina, Tordandrea, Tordibetto, Viole"
Comuni confinanti,"Bastia Umbra, Bettona, Cannara, Nocera Umbra, Perugia, Spello, Valfabbrica, Valtopina"
Altre informazioni,Altre informazioni
Cod. postale,06081
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054001
Cod. catastale,A475
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 198 GG[3]"
Nome abitanti,assisani o assisiati
Patrono,san Rufino
Giorno festivo,12 agosto
Cartografia,Cartografia
Assisi,Assisi
Assisi – MappaPosizione del comune di Assisi all'interno della provincia di Perugia,Assisi – MappaPosizione del comune di Assisi all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
