Fratta Todina comune,Fratta Todina comune.1
,
Fratta Todina – VedutaPanorama di Fratta Todina.,Fratta Todina – VedutaPanorama di Fratta Todina.
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Gianluca Coata (PD) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°51′27.19″N 12°21′59.62″E
Altitudine,215 m s.l.m.
Superficie,"17,43 km²"
Abitanti,1 909[1] (30-11-2025)
Densità,"109,52 ab./km²"
Frazioni,"Spineta, Pontecane e Stazione."
Comuni confinanti,"Collazzone, Marsciano, Monte Castello di Vibio, San Venanzo (TR), Todi"
Altre informazioni,Altre informazioni
Cod. postale,06054
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054020
Cod. catastale,D787
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 915 GG[3]"
Nome abitanti,frattigiani
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Fratta Todina,Fratta Todina
Fratta Todina – MappaPosizione del comune di Fratta Todina all'interno della provincia di Perugia,Fratta Todina – MappaPosizione del comune di Fratta Todina all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
