Norcia comune,Norcia comune.1
,
Norcia – VedutaVista della cittadina dall'alto,Norcia – VedutaVista della cittadina dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Giuliano Boccanera (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,42°47′33.36″N 13°05′35.44″E
Altitudine,604 m s.l.m.
Superficie,"275,58 km²"
Abitanti,4 406[1] (30-11-2025)
Densità,"15,99 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Accumoli (RI), Arquata del Tronto (AP), Cascia, Castelsantangelo sul Nera (MC), Cerreto di Spoleto, Cittareale (RI), Montemonaco (AP), Preci"
Altre informazioni,Altre informazioni
Cod. postale,06046
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054035
Cod. catastale,F935
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,nursini
Patrono,san Benedetto
Giorno festivo,"21 marzo, 11 luglio"
Cartografia,Cartografia
Norcia,Norcia
Norcia – MappaPosizione del comune di Norcia all'interno della provincia di Perugia,Norcia – MappaPosizione del comune di Norcia all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
