Spello comune,Spello comune.1
,
"Spello – VedutaPanorama aereo del centro storico di Spello, alle pendici del monte Subasio (sullo sfondo)","Spello – VedutaPanorama aereo del centro storico di Spello, alle pendici del monte Subasio (sullo sfondo)"
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Moreno Landrini (centro-sinistra) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°59′31.6″N 12°40′15.83″E
Altitudine,280 m s.l.m.
Superficie,"61,65 km²"
Abitanti,8 216[1] (30-11-2025)
Densità,"133,27 ab./km²"
Frazioni,"Acquatino, Capitan Loreto, Crocefisso, Collepino, Limiti, Ponte Chiona, San Felice, San Giovanni"
Comuni confinanti,"Assisi, Bevagna, Cannara, Foligno, Valtopina"
Altre informazioni,Altre informazioni
Cod. postale,06038
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054050
Cod. catastale,I888
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 075 GG[3]"
Nome abitanti,spellani
Patrono,san Felice di Massa Martana
Giorno festivo,18 maggio
Soprannome,Splendidissima Colonia Julia
Cartografia,Cartografia
Spello,Spello
Spello – MappaPosizione del comune di Spello all'interno della provincia di Perugia,Spello – MappaPosizione del comune di Spello all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
