Castel Ritaldi comune,Castel Ritaldi comune.1
,
Castel Ritaldi – Veduta,Castel Ritaldi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Elisa Sabbatini (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°49′22.92″N 12°40′20.83″E
Altitudine,297 m s.l.m.
Superficie,"22,44 km²"
Abitanti,2 993[1] (30-11-2025)
Densità,"133,38 ab./km²"
Frazioni,"Bruna, Castel San Giovanni, Colle del Marchese, Mercatello, Torregrosso"
Comuni confinanti,"Giano dell'Umbria, Montefalco, Spoleto, Trevi"
Altre informazioni,Altre informazioni
Cod. postale,06044
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054008
Cod. catastale,C252
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 109 GG[3]"
Nome abitanti,castelritaldesi
Patrono,santa Marina
Giorno festivo,domenica successiva al 15 agosto
Cartografia,Cartografia
Castel Ritaldi,Castel Ritaldi
Castel Ritaldi – MappaPosizione del comune di Castel Ritaldi all'interno della provincia di Perugia,Castel Ritaldi – MappaPosizione del comune di Castel Ritaldi all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
