Bastia Umbra comune,Bastia Umbra comune.1
,
Bastia Umbra – VedutaChiesa di San Michele Arcangelo,Bastia Umbra – VedutaChiesa di San Michele Arcangelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Erigo Pecci (centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,43°04′00.08″N 12°32′56.04″E
Altitudine,202 m s.l.m.
Superficie,"27,6 km²"
Abitanti,21 491[1] (30-11-2025)
Densità,"778,66 ab./km²"
Frazioni,"Costano, Ospedalicchio[2]"
Comuni confinanti,"Assisi, Bettona, Perugia, Torgiano"
Altre informazioni,Altre informazioni
Cod. postale,06083
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054002
Cod. catastale,A710
Targa,PG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 994 GG[4]"
Nome abitanti,bastioli
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Bastia Umbra,Bastia Umbra
Bastia Umbra – MappaPosizione del comune di Bastia Umbra all'interno della provincia di Perugia,Bastia Umbra – MappaPosizione del comune di Bastia Umbra all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
