Gubbio comune,Gubbio comune.1
,
Gubbio – VedutaPanorama del centro storico,Gubbio – VedutaPanorama del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Vittorio Fiorucci (centro-destra) dal 24-6-2024
Territorio,Territorio
Coordinate,43°21′10.83″N 12°34′45.44″E
Altitudine,522 m s.l.m.
Superficie,"525,78 km²"
Abitanti,30 210[1] (30-11-2025)
Densità,"57,46 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Cagli (PU), Cantiano (PU), Costacciaro, Fossato di Vico, Gualdo Tadino, Perugia, Pietralunga, Scheggia e Pascelupo, Sigillo, Umbertide, Valfabbrica"
Altre informazioni,Altre informazioni
Cod. postale,"06024, 06020"
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054024
Cod. catastale,E256
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 357 GG[3]"
Nome abitanti,eugubini
Patrono,sant'Ubaldo
Giorno festivo,16 maggio
Cartografia,Cartografia
Gubbio,Gubbio
Gubbio – MappaPosizione del comune di Gubbio all'interno della provincia di Perugia,Gubbio – MappaPosizione del comune di Gubbio all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
