Passignano sul Trasimeno comune,Passignano sul Trasimeno comune.1
,
Passignano sul Trasimeno – Veduta,Passignano sul Trasimeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Sandro Pasquali (lista civica di centro-sinistra Per Passignano) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°11′05.43″N 12°08′11.88″E
Altitudine,289 m s.l.m.
Superficie,"81,33 km²"
Abitanti,5 704[1] (30-11-2025)
Densità,"70,13 ab./km²"
Frazioni,"Castel Rigone, Col Piccione, Oliveto, Pischiello, San Donato, San Vito, Trecine, Le Pierle."
Comuni confinanti,"Castiglione del Lago, Lisciano Niccone, Magione, Tuoro sul Trasimeno, Umbertide"
Altre informazioni,Altre informazioni
Cod. postale,06065
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054038
Cod. catastale,G359
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 084 GG[3]"
Nome abitanti,passignanesi
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Passignano sul Trasimeno,Passignano sul Trasimeno
Passignano sul Trasimeno – MappaPosizione del comune di Passignano sul Trasimeno all'interno della provincia di Perugia,Passignano sul Trasimeno – MappaPosizione del comune di Passignano sul Trasimeno all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
