Sant'Anatolia di Narco comune,Sant'Anatolia di Narco comune.1
,
Sant'Anatolia di Narco – Veduta,Sant'Anatolia di Narco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Tullio Fibraroli (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°43′58.75″N 12°50′08.55″E
Altitudine,328 m s.l.m.
Superficie,"46,55 km²"
Abitanti,486[1] (30-11-2025)
Densità,"10,44 ab./km²"
Frazioni,"Caso, Castel San Felice, Gavelli, Grotti, San Martino Agelli, Tassinare, Palombara"
Comuni confinanti,"Monteleone di Spoleto, Poggiodomo, Scheggino, Spoleto, Vallo di Nera"
Altre informazioni,Altre informazioni
Cod. postale,06040
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054045
Cod. catastale,I263
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 124 GG[3]"
Nome abitanti,narcani
Patrono,sant'Anatolia
Giorno festivo,9 luglio
Cartografia,Cartografia
Sant'Anatolia di Narco,Sant'Anatolia di Narco
Sant'Anatolia di Narco – MappaPosizione del comune di Sant'Anatolia di Narco all'interno della provincia di Perugia,Sant'Anatolia di Narco – MappaPosizione del comune di Sant'Anatolia di Narco all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
