Tuoro sul Trasimeno comune,Tuoro sul Trasimeno comune.1
,
Tuoro sul Trasimeno – Veduta,Tuoro sul Trasimeno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Maria Elena Minciaroni (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°12′31.6″N 12°04′17.89″E
Altitudine,309 m s.l.m.
Superficie,"55,89 km²"
Abitanti,3 792[1] (30-11-2025)
Densità,"67,85 ab./km²"
Frazioni,"Borghetto, Isola Maggiore, Piazzano, Vernazzano"
Comuni confinanti,"Castiglione del Lago, Cortona (AR), Lisciano Niccone, Magione, Passignano sul Trasimeno"
Altre informazioni,Altre informazioni
Cod. postale,06069
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054055
Cod. catastale,L466
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 104 GG[3]"
Nome abitanti,toreggiani
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Tuoro sul Trasimeno,Tuoro sul Trasimeno
Tuoro sul Trasimeno – MappaPosizione del comune di Tuoro sul Trasimeno all'interno della provincia di Perugia,Tuoro sul Trasimeno – MappaPosizione del comune di Tuoro sul Trasimeno all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
