Costacciaro comune,Costacciaro comune.1
,
Costacciaro – Veduta,Costacciaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Andrea Capponi (lista civica Costacciaro per tutti) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°21′32.24″N 12°42′42.98″E
Altitudine,567 m s.l.m.
Superficie,"41,06 km²"
Abitanti,1 017[1] (30-11-2025)
Densità,"24,77 ab./km²"
Frazioni,"Costa San Savino, Rancana, Villa Col de' Canali"
Comuni confinanti,"Fabriano (AN), Gubbio, Sassoferrato (AN), Scheggia e Pascelupo, Sigillo"
Altre informazioni,Altre informazioni
Cod. postale,06021
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054016
Cod. catastale,D108
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 403 GG[3]"
Nome abitanti,costacciaroli
Patrono,beato Tommaso da Costacciaro
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Costacciaro,Costacciaro
Costacciaro – MappaPosizione del comune di Costacciaro all'interno della provincia di Perugia,Costacciaro – MappaPosizione del comune di Costacciaro all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
