Castiglione del Lago comune,Castiglione del Lago comune.1
,
Castiglione del Lago – Veduta,Castiglione del Lago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Matteo Burico (PD) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°07′39.5″N 12°03′12.46″E
Altitudine,304 m s.l.m.
Superficie,"205,26 km²"
Acque interne,"38,07 km² (18,55%)"
Abitanti,15 216[1] (30-11-2025)
Densità,"74,13 ab./km²"
Frazioni,"Badia, Casamaggiore, Gioiella, Macchie, Panicarola, Petrignano del Lago, Piana, Porto, Pozzuolo Umbro, Sanfatucchio, Vaiano, Villastrada"
Comuni confinanti,"Chiusi (SI), Città della Pieve, Cortona (AR), Magione, Montepulciano (SI), Paciano, Panicale, Passignano sul Trasimeno, Tuoro sul Trasimeno"
Altre informazioni,Altre informazioni
Cod. postale,06061
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054009
Cod. catastale,C309
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 099 GG[3]"
Nome abitanti,castiglionesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Castiglione del Lago,Castiglione del Lago
Castiglione del Lago – MappaPosizione del comune di Castiglione del Lago all'interno della provincia di Perugia,Castiglione del Lago – MappaPosizione del comune di Castiglione del Lago all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
