Deruta comune,Deruta comune.1
,
Deruta – Veduta,Deruta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Michele Toniaccini (lista civica di centro-destra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°58′55.66″N 12°25′11.11″E
Altitudine,218 m s.l.m.
Superficie,"44,51 km²"
Abitanti,9 544[1] (30-11-2025)
Densità,"214,42 ab./km²"
Frazioni,"Casalina, Castelleone, Pontenuovo, Ripabianca, San Nicolò di Celle, Sant'Angelo di Celle[2]"
Comuni confinanti,"Bettona, Collazzone, Marsciano, Perugia, Torgiano"
Altre informazioni,Altre informazioni
Cod. postale,"06053; 06051 (Casalina, Ripabianca)"
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054017
Cod. catastale,D279
Targa,PG
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 013 GG[4]"
Nome abitanti,derutesi
Patrono,"santa Caterina d'Alessandria, san Simplicio"
Giorno festivo,25 novembre
Cartografia,Cartografia
Deruta,Deruta
Deruta – MappaPosizione del comune di Deruta all'interno della provincia di Perugia,Deruta – MappaPosizione del comune di Deruta all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
