Campello sul Clitunno comune,Campello sul Clitunno comune.1
,
Campello sul Clitunno – VedutaLa frazione di Campello Alto con il castello,Campello sul Clitunno – VedutaLa frazione di Campello Alto con il castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Simonetta Scarabottini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°49′12.26″N 12°46′36.92″E
Altitudine,290 m s.l.m.
Superficie,"49,76 km²"
Abitanti,2 310[1] (30-11-2025)
Densità,"46,42 ab./km²"
Frazioni,"Acera, Agliano, Campello Alto, Fontanelle, La Bianca, Lenano, Pettino, Pissignano, Ravale, Settecamini, Spina Nuova, Villa"
Comuni confinanti,"Cerreto di Spoleto, Sellano, Spoleto, Trevi, Vallo di Nera"
Altre informazioni,Altre informazioni
Cod. postale,06042
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054005
Cod. catastale,B504
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 085 GG[3]"
Nome abitanti,campellini
Patrono,san Luigi Gonzaga
Giorno festivo,21 giugno
Cartografia,Cartografia
Campello sul Clitunno,Campello sul Clitunno
Campello sul Clitunno – MappaPosizione del comune di Campello sul Clitunno all'interno della provincia di Perugia,Campello sul Clitunno – MappaPosizione del comune di Campello sul Clitunno all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
