Piegaro comune,Piegaro comune.1
,
Piegaro – Veduta,Piegaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Roberto Ferricelli (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°58′14.03″N 12°05′09.75″E
Altitudine,356 m s.l.m.
Superficie,"99,18 km²"
Abitanti,3 325[1] (30-11-2025)
Densità,"33,52 ab./km²"
Frazioni,"Abbadia Settefrati, Acquaiola Gratiano, Castiglion Fosco, Cibottola, Collebaldo, Gaiche, Greppolischieto, Ierna Vignaie, Macereto, Oro, Pietrafitta e Pratalenza."
Comuni confinanti,"Città della Pieve, Marsciano, Montegabbione (TR), Monteleone d'Orvieto (TR), Paciano, Panicale, Perugia, San Venanzo (TR)"
Altre informazioni,Altre informazioni
Cod. postale,06066
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054040
Cod. catastale,G601
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 152 GG[3]"
Nome abitanti,piegaresi
Patrono,san Silvestro
Giorno festivo,31 dicembre
Cartografia,Cartografia
Piegaro,Piegaro
Piegaro – MappaPosizione del comune di Piegaro all'interno della provincia di Perugia,Piegaro – MappaPosizione del comune di Piegaro all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
