Giano dell'Umbria comune,Giano dell'Umbria comune.1
,
Giano dell'Umbria – Veduta,Giano dell'Umbria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Manuel Petruccioli (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°50′01.42″N 12°34′41.14″E
Altitudine,546 m s.l.m.
Superficie,"44,48 km²"
Abitanti,3 662[1] (30-11-2025)
Densità,"82,33 ab./km²"
Frazioni,"Bastardo, Castagnola, Fabbri, Macciano, Montecchio, San Sabino, Morcicchia"
Comuni confinanti,"Castel Ritaldi, Gualdo Cattaneo, Massa Martana, Montefalco, Spoleto"
Altre informazioni,Altre informazioni
Cod. postale,06030
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054021
Cod. catastale,E012
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 344 GG[3]"
Nome abitanti,gianesi
Patrono,San Felice
Giorno festivo,30 ottobre
Cartografia,Cartografia
Giano dell'Umbria,Giano dell'Umbria
Giano dell'Umbria – MappaPosizione del comune di Giano dell'Umbria all'interno della provincia di Perugia,Giano dell'Umbria – MappaPosizione del comune di Giano dell'Umbria all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
