Cerreto di Spoleto comune,Cerreto di Spoleto comune.1
,
Cerreto di Spoleto – Veduta,Cerreto di Spoleto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Giandomenico Montesi (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°49′15.69″N 12°55′02.16″E
Altitudine,557 m s.l.m.
Superficie,"74,78 km²"
Abitanti,959[1] (30-11-2025)
Densità,"12,82 ab./km²"
Frazioni,"Borgo Cerreto, Buggiano, Colle Soglio, Macchia, Nortosce, Ponte, Rocchetta, Triponzo"
Comuni confinanti,"Campello sul Clitunno, Cascia, Norcia, Poggiodomo, Preci, Sellano, Vallo di Nera, Visso (MC)"
Altre informazioni,Altre informazioni
Cod. postale,06040
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054010
Cod. catastale,C527
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 355 GG[3]"
Nome abitanti,cerretani
Patrono,san Nicola da Bari
Giorno festivo,Pentecoste
Cartografia,Cartografia
Cerreto di Spoleto,Cerreto di Spoleto
Cerreto di Spoleto – MappaPosizione del comune di Cerreto di Spoleto all'interno della provincia di Perugia,Cerreto di Spoleto – MappaPosizione del comune di Cerreto di Spoleto all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
