Gualdo Tadino comune,Gualdo Tadino comune.1
,
Gualdo Tadino – Veduta,Gualdo Tadino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Massimiliano Presciutti (PD) dall'8-6-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°13′51.34″N 12°47′05.28″E
Altitudine,536 m s.l.m.
Superficie,"124,29 km²"
Abitanti,14 123[1] (30-11-2025)
Densità,"113,63 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Fabriano (AN), Fossato di Vico, Gubbio, Nocera Umbra, Valfabbrica"
Altre informazioni,Altre informazioni
Cod. postale,06023
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054023
Cod. catastale,E230
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 334 GG[3]"
Nome abitanti,gualdesi
Patrono,beato Angelo da Gualdo Tadino e san Michele Arcangelo
Giorno festivo,15 gennaio
Cartografia,Cartografia
Gualdo Tadino,Gualdo Tadino
Gualdo Tadino – MappaPosizione del comune di Gualdo Tadino all'interno della provincia di Perugia,Gualdo Tadino – MappaPosizione del comune di Gualdo Tadino all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
