Gualdo Cattaneo comune,Gualdo Cattaneo comune.1
,
Gualdo Cattaneo – Veduta,Gualdo Cattaneo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Enrico Valentini (lista civica di centro-destra Obiettivo Gualdo) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°54′33.15″N 12°33′22.13″E
Altitudine,446 m s.l.m.
Superficie,"96,63 km²"
Abitanti,5 630[1] (30-11-2025)
Densità,"58,26 ab./km²"
Frazioni,"Barattano, Cavallara, Ceralto, Cerquiglino, Cisterna, Collesecco, Grutti, Marcellano, Pomonte, Ponte di Ferro, Pozzo, San Terenziano, Saragano, Torri"
Comuni confinanti,"Bettona, Bevagna, Cannara, Collazzone, Giano dell'Umbria, Massa Martana, Montefalco, Todi"
Altre informazioni,Altre informazioni
Cod. postale,06035
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054022
Cod. catastale,E229
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 243 GG[3]"
Nome abitanti,gualdesi
Patrono,Beato Ugulino e santi Martiri Antonio ed Antonino
Giorno festivo,8 maggio
Cartografia,Cartografia
Gualdo Cattaneo,Gualdo Cattaneo
Gualdo Cattaneo – MappaPosizione del comune di Gualdo Cattaneo all'interno della provincia di Perugia,Gualdo Cattaneo – MappaPosizione del comune di Gualdo Cattaneo all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
