San Giustino comune,San Giustino comune.1
,
San Giustino – VedutaVeduta aerea,San Giustino – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Stefano Veschi (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°32′54.43″N 12°10′35.5″E
Altitudine,336 m s.l.m.
Superficie,"79,98[1] km²"
Abitanti,11 016[2] (30-11-2025)
Densità,"137,73 ab./km²"
Frazioni,"Cantone, Case Nuove Seconde, Celalba, Corposano, Cospaia, Parnacciano, Pitigliano, Selci,[3] Lama,[3] Uselle-Renzetti, Valdimonte"
Comuni confinanti,"Borgo Pace (PU), Città di Castello, Mercatello sul Metauro (PU), Sansepolcro (AR)"
Altre informazioni,Altre informazioni
Cod. postale,06016
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054044
Cod. catastale,H935
Targa,PG
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 132 GG[5]"
Nome abitanti,sangiustinesi
Patrono,san Giustino
Giorno festivo,1º giugno
Cartografia,Cartografia
San Giustino,San Giustino
San Giustino – MappaPosizione del comune di San Giustino all'interno della provincia di Perugia,San Giustino – MappaPosizione del comune di San Giustino all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
