Paciano comune,Paciano comune.1
,
Paciano – Veduta,Paciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Luca Dini (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°01′20.43″N 12°04′14.87″E
Altitudine,391 m s.l.m.
Superficie,"16,91 km²"
Abitanti,932[1] (30-11-2025)
Densità,"55,12 ab./km²"
Comuni confinanti,"Castiglione del Lago, Città della Pieve, Panicale, Piegaro"
Altre informazioni,Altre informazioni
Cod. postale,06060
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054036
Cod. catastale,G212
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 187 GG[3]"
Nome abitanti,pacianesi
Patrono,san Michele arcangelo
Giorno festivo,13 agosto
Cartografia,Cartografia
Paciano,Paciano
Paciano – MappaPosizione del comune di Paciano all'interno della provincia di Perugia,Paciano – MappaPosizione del comune di Paciano all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
