Valfabbrica comune,Valfabbrica comune.1
,
Valfabbrica – VedutaPanorama di Valfabbrica,Valfabbrica – VedutaPanorama di Valfabbrica
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Enrico Bacoccoli (lista civica di centro-destra Insieme per crescere) dal 22-9-2020
Territorio,Territorio
Coordinate,43°09′33.93″N 12°36′05.84″E
Altitudine,289 m s.l.m.
Superficie,"92,3 km²"
Abitanti,3 221[1] (30-11-2025)
Densità,"34,9 ab./km²"
Frazioni,"Casacastalda, Giomici, Monteverde"
Comuni confinanti,"Assisi, Gualdo Tadino, Gubbio, Nocera Umbra, Perugia"
Altre informazioni,Altre informazioni
Cod. postale,06029
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054057
Cod. catastale,L573
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 084 GG[3]"
Nome abitanti,valfabbrichesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Valfabbrica,Valfabbrica
Valfabbrica – MappaPosizione del comune di Valfabbrica all'interno della provincia di Perugia,Valfabbrica – MappaPosizione del comune di Valfabbrica all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
