Scheggia e Pascelupo comune,Scheggia e Pascelupo comune.1
,
"Scheggia e Pascelupo – VedutaPanorama di Scheggia, capoluogo comunale.","Scheggia e Pascelupo – VedutaPanorama di Scheggia, capoluogo comunale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Fabio Vergari (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°24′13.11″N 12°40′05.4″E
Altitudine,580 m s.l.m.
Superficie,"64,16 km²"
Abitanti,1 240[1] (30-11-2025)
Densità,"19,33 ab./km²"
Frazioni,"Aiale, Belvedere, Buotano, Campitello, Casacce, Casequattro, Coldipeccio, Fossarave, Isola Fossara, La Pezza, Montebollo, Monte Fiume, Pascelupo, Perticano, Ponte Calcara, Scheggia (sede comunale), Valdorbia"
Comuni confinanti,"Cantiano (PU), Costacciaro, Frontone (PU), Gubbio, Sassoferrato (AN), Serra Sant'Abbondio (PU)"
Altre informazioni,Altre informazioni
Cod. postale,06027
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054046
Cod. catastale,I522
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,scheggini e pascelupani
Patrono,san Paterniano e san Bernardino da Siena
Giorno festivo,12 luglio e 20 maggio
Cartografia,Cartografia
Scheggia e Pascelupo,Scheggia e Pascelupo
Scheggia e Pascelupo – MappaPosizione del comune di Scheggia e Pascelupo all'interno della provincia di Perugia,Scheggia e Pascelupo – MappaPosizione del comune di Scheggia e Pascelupo all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
