Cannara comune,Cannara comune.1
,
Cannara – Veduta,Cannara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Fabrizio Gareggia (lista civica di centro-destra) dall'11-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,42°59′42.35″N 12°34′57.78″E
Altitudine,191 m s.l.m.
Superficie,"32,81 km²"
Abitanti,4 169[1] (30-11-2025)
Densità,"127,06 ab./km²"
Frazioni,Collemancio
Comuni confinanti,"Assisi, Bettona, Bevagna, Gualdo Cattaneo, Spello"
Altre informazioni,Altre informazioni
Cod. postale,06033
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054006
Cod. catastale,B609
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 985 GG[3]"
Nome abitanti,cannaresi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Cannara,Cannara
Cannara – MappaPosizione del comune di Cannara all'interno della provincia di Perugia,Cannara – MappaPosizione del comune di Cannara all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
