Pietralunga comune,Pietralunga comune.1
,
Pietralunga – VedutaVista panoramica del centro storico,Pietralunga – VedutaVista panoramica del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Francesco Rizzuti (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°26′32.25″N 12°26′12.35″E
Altitudine,566 m s.l.m.
Superficie,"140,42 km²"
Abitanti,2 015[1] (30-11-2025)
Densità,"14,35 ab./km²"
Frazioni,"Aggiglioni, Castelfranco, Castelguelfo, Collantico, Corniole, Pieve de' Saddi, Piscinale, Salceto Lame, San Biagio, San Faustino"
Comuni confinanti,"Apecchio (PU), Cagli (PU), Città di Castello, Gubbio, Montone, Umbertide"
Altre informazioni,Altre informazioni
Cod. postale,06026
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054041
Cod. catastale,G618
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 364 GG[3]"
Nome abitanti,pietralunghesi
Patrono,san Gaudenzio
Giorno festivo,29 settembre
Cartografia,Cartografia
Pietralunga,Pietralunga
Pietralunga – MappaPosizione del comune di Pietralunga all'interno della provincia di Perugia,Pietralunga – MappaPosizione del comune di Pietralunga all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
