Todi comune,Todi comune.1
,
Todi – VedutaPanorama della città.,Todi – VedutaPanorama della città.
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Antonino Ruggiano (centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,42°46′55.21″N 12°24′24.93″E
Altitudine,400 m s.l.m.
Superficie,"222,86 km²"
Abitanti,15 435[1] (30-11-2025)
Densità,"69,26 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acquasparta (TR), Avigliano Umbro (TR), Baschi (TR), Collazzone, Fratta Todina, Gualdo Cattaneo, Marsciano, Massa Martana, Monte Castello di Vibio, Montecchio (TR), Orvieto (TR), San Venanzo (TR)"
Altre informazioni,Altre informazioni
Cod. postale,06059
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054052
Cod. catastale,L188
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 193 GG[3]"
Nome abitanti,tuderti[4]
Patrono,san Fortunato
Giorno festivo,14 ottobre
Cartografia,Cartografia
Todi,Todi
Todi – MappaPosizione del comune di Todi all'interno della provincia di Perugia,Todi – MappaPosizione del comune di Todi all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
