Poggiodomo comune,Poggiodomo comune.1
,
Poggiodomo – Veduta,Poggiodomo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Filippo Marini (lista civica Poggiodomo di tutti) dal 13-6-2022
Territorio,Territorio
Coordinate,42°42′42.17″N 12°56′05.16″E
Altitudine,974 m s.l.m.
Superficie,"40,09 km²"
Abitanti,81[1] (30-11-2025)
Densità,"2,02 ab./km²"
Frazioni,"Mucciafora, Roccatamburo, Usigni"
Comuni confinanti,"Cascia, Cerreto di Spoleto, Monteleone di Spoleto, Norcia, Preci, Sant'Anatolia di Narco, Scheggino, Vallo di Nera"
Altre informazioni,Altre informazioni
Cod. postale,06040
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054042
Cod. catastale,G758
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 910 GG[3]"
Nome abitanti,poiani
Patrono,sant'Antonio di Padova
Giorno festivo,penultima domenica di agosto
Cartografia,Cartografia
Poggiodomo,Poggiodomo
Poggiodomo – MappaPosizione del comune di Poggiodomo all'interno della provincia di Perugia,Poggiodomo – MappaPosizione del comune di Poggiodomo all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
