Fossato di Vico comune,Fossato di Vico comune.1
,
Fossato di Vico – VedutaVeduta di Fossato di Vico innevato.,Fossato di Vico – VedutaVeduta di Fossato di Vico innevato.
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Lorenzo Polidori (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°17′40.92″N 12°45′40.74″E
Altitudine,581 m s.l.m.
Superficie,"35,39 km²"
Abitanti,2 583[1] (30-11-2025)
Densità,"72,99 ab./km²"
Frazioni,"Borgo di Fossato, Colbassano, Osteria del Gatto, Palazzolo, Purello"
Comuni confinanti,"Fabriano (AN), Gualdo Tadino, Gubbio, Sigillo"
Altre informazioni,Altre informazioni
Cod. postale,06022
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054019
Cod. catastale,D745
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 382 GG[3]"
Nome abitanti,Fossatani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Fossato di Vico,Fossato di Vico
Fossato di Vico – MappaPosizione del comune di Fossato di Vico all'interno della provincia di Perugia,Fossato di Vico – MappaPosizione del comune di Fossato di Vico all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
