Vallo di Nera comune,Vallo di Nera comune.1
,
Vallo di Nera – Veduta,Vallo di Nera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Agnese Benedetti (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°46′10.99″N 12°51′44.46″E
Altitudine,467 m s.l.m.
Superficie,"36,22 km²"
Abitanti,318[1] (30-11-2025)
Densità,"8,78 ab./km²"
Frazioni,"Borbonea, Geppa, La Pieve, Le Campore, Meggiano, Monte Fiorello, Paterno, Piedilacosta, Piedipaterno, Roccagelli"
Comuni confinanti,"Campello sul Clitunno, Cerreto di Spoleto, Poggiodomo, Sant'Anatolia di Narco, Spoleto"
Altre informazioni,Altre informazioni
Cod. postale,06040
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054058
Cod. catastale,L627
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 128 GG[3]"
Nome abitanti,vallani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Vallo di Nera,Vallo di Nera
Vallo di Nera – MappaPosizione del comune di Vallo di Nera all'interno della provincia di Perugia,Vallo di Nera – MappaPosizione del comune di Vallo di Nera all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
