Trevi comune,Trevi comune.1
,
Trevi – VedutaPanorama del paese,Trevi – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Ferdinando Gemma (lista civica di centro-destra Uniti per Trevi) dal 15-5-2023
Territorio,Territorio
Coordinate,42°52′38.83″N 12°44′51.9″E
Altitudine,412 m s.l.m.
Superficie,"71,19 km²"
Abitanti,7 951[1] (30-11-2025)
Densità,"111,69 ab./km²"
Frazioni,"Borgo Trevi, Bovara, Cannaiola, Coste, LaPigge, Manciano, Matigge, Parrano, Picciche, Pietrarossa, San Lorenzo, Santa Maria in Valle, Ponze"
Comuni confinanti,"Campello sul Clitunno, Castel Ritaldi, Foligno, Montefalco, Sellano, Spoleto"
Altre informazioni,Altre informazioni
Cod. postale,06039
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054054
Cod. catastale,L397
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 208 GG[3]"
Nome abitanti,trevani
Patrono,sant'Emiliano
Giorno festivo,28 gennaio
Cartografia,Cartografia
Trevi,Trevi
Trevi – MappaPosizione del comune di Trevi all'interno della provincia di Perugia,Trevi – MappaPosizione del comune di Trevi all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
