Collazzone comune,Collazzone comune.1
,
Collazzone – Veduta,Collazzone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Laura Antonelli (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,42°53′58.46″N 12°26′09.53″E
Altitudine,469 m s.l.m.
Superficie,"55,68 km²"
Abitanti,3 265[1] (30-11-2025)
Densità,"58,64 ab./km²"
Frazioni,"Assignano, Canalicchio, Casalalta, Collepepe, Gaglietole, Piedicolle"
Comuni confinanti,"Bettona, Deruta, Fratta Todina, Gualdo Cattaneo, Marsciano, Todi"
Altre informazioni,Altre informazioni
Cod. postale,06050
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054014
Cod. catastale,C845
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 266 GG[3]"
Nome abitanti,collazzonesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Collazzone,Collazzone
Collazzone – MappaPosizione del comune di Collazzone all'interno della provincia di Perugia,Collazzone – MappaPosizione del comune di Collazzone all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
