Scheggino comune,Scheggino comune.1
,
Scheggino – VedutaVista di Scheggino dalla riva del fiume Nera,Scheggino – VedutaVista di Scheggino dalla riva del fiume Nera
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Fabio Dottori (lista civica di centro-destra Uniti per Scheggino) dal 22-9-2020
Territorio,Territorio
Coordinate,42°42′45.1″N 12°49′51.85″E
Altitudine,282 m s.l.m.
Superficie,"35,85 km²"
Abitanti,422[1] (30-11-2025)
Densità,"11,77 ab./km²"
Frazioni,"Ceselli, Civitella, Collefabbri, Monte San Vito, Nevi, Pontuglia, San Valentino, Schioppo"
Comuni confinanti,"Ferentillo (TR), Monteleone di Spoleto, Sant'Anatolia di Narco, Spoleto"
Altre informazioni,Altre informazioni
Cod. postale,06040
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054047
Cod. catastale,I523
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 076 GG[3]"
Nome abitanti,schegginesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Scheggino,Scheggino
Scheggino – MappaPosizione del comune di Scheggino all'interno della provincia di Perugia,Scheggino – MappaPosizione del comune di Scheggino all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
