Valtopina comune,Valtopina comune.1
,
Valtopina – Veduta,Valtopina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Gabriele Coccia (lista civica di centro-sinistra) dal 13-6-2022
Territorio,Territorio
Coordinate,43°03′32.26″N 12°45′16.5″E
Altitudine,360 m s.l.m.
Superficie,"40,57 km²"
Abitanti,1 262[1] (30-11-2025)
Densità,"31,11 ab./km²"
Frazioni,"Balciano, Capranica, Casatommaso, Collebudino, Franchillo, Fondia, Gallano, Giove, Pasano, Poggio, Ponte Rio, Santa Cristina, Sasso, Vallemare, Collesilvo, Marcofrate, Casa Fabbri"
Comuni confinanti,"Assisi, Foligno, Nocera Umbra, Spello"
Altre informazioni,Altre informazioni
Cod. postale,06030
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054059
Cod. catastale,L653
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 162 GG[3]"
Nome abitanti,valtopinesi
Patrono,san Bernardino
Giorno festivo,20 maggio
Cartografia,Cartografia
Valtopina,Valtopina
Valtopina – MappaPosizione del comune di Valtopina all'interno della provincia di Perugia,Valtopina – MappaPosizione del comune di Valtopina all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
