Preci comune,Preci comune.1
,
Preci – VedutaIl centro di Preci nel 2024,Preci – VedutaIl centro di Preci nel 2024
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Massimo Messi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,42°52′44.43″N 13°02′20.35″E
Altitudine,596 m s.l.m.
Superficie,"82,03 km²"
Abitanti,679[1] (30-11-2025)
Densità,"8,28 ab./km²"
Frazioni,"Abeto, Acquaro, Belforte, Borgo Preci, Castelvecchio, Collazzoni, Collescille, Corone, Fiano d'Abeto, Montaglioni, Montebufo, Piedivalle, Poggio di Croce, Roccanolfi, Saccovescio, San Vito, Todiano, Valle"
Comuni confinanti,"Castelsantangelo sul Nera (MC), Cerreto di Spoleto, Norcia, Visso (MC)"
Altre informazioni,Altre informazioni
Cod. postale,06047
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054043
Cod. catastale,H015
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 394 GG[3]"
Nome abitanti,preciani
Patrono,Madonna della Pietà
Giorno festivo,7 giugno
Cartografia,Cartografia
Preci,Preci
Preci – MappaPosizione del comune di Preci all'interno della provincia di Perugia,Preci – MappaPosizione del comune di Preci all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
