Monteleone di Spoleto comune,Monteleone di Spoleto comune.1
,
Monteleone di Spoleto – Veduta,Monteleone di Spoleto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Marisa Angelini (lista civica) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°39′05.73″N 12°57′06.62″E
Altitudine,978 m s.l.m.
Superficie,"62,18 km²"
Abitanti,535[1] (30-11-2025)
Densità,"8,6 ab./km²"
Frazioni,"Butino, Rescia, Ruscio, Trivio, Nempe"
Comuni confinanti,"Cascia, Ferentillo (TR), Leonessa (RI), Poggiodomo, Sant'Anatolia di Narco, Scheggino"
Altre informazioni,Altre informazioni
Cod. postale,06045
Prefisso,0743
Fuso orario,UTC+1
Codice ISTAT,054031
Cod. catastale,F540
Targa,PG
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 914 GG[3]"
Nome abitanti,monteleonesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Monteleone di Spoleto,Monteleone di Spoleto
Monteleone di Spoleto – MappaPosizione del comune di Monteleone di Spoleto all'interno della provincia di Perugia,Monteleone di Spoleto – MappaPosizione del comune di Monteleone di Spoleto all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
