Montefalco comune,Montefalco comune.1
,
Montefalco – Veduta,Montefalco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Alfredo Gentili (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,42°53′37.54″N 12°39′08.58″E
Altitudine,472 m s.l.m.
Superficie,"69,51 km²"
Abitanti,5 272[1] (30-11-2025)
Densità,"75,85 ab./km²"
Frazioni,"Camiano, Casale, Cerrete, Fabbri, Fratta, Madonna della Stella, Montepennino, Pietrauta, San Clemente, San Luca, San Marco, Torre di Montefalco, Turrita"
Comuni confinanti,"Bevagna, Castel Ritaldi, Foligno, Giano dell'Umbria, Gualdo Cattaneo, Trevi"
Altre informazioni,Altre informazioni
Cod. postale,06036
Prefisso,0742
Fuso orario,UTC+1
Codice ISTAT,054030
Cod. catastale,F492
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 269 GG[3]"
Nome abitanti,montefalchesi
Patrono,san Fortunato di Spoleto
Giorno festivo,1º giugno
Cartografia,Cartografia
Montefalco,Montefalco
Montefalco – MappaPosizione del comune di Montefalco all'interno della provincia di Perugia,Montefalco – MappaPosizione del comune di Montefalco all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
