Perugia comune,Perugia comune.1
,
Perugia – VedutaPanorama della città,Perugia – VedutaPanorama della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Vittoria Ferdinandi (Indipendente di centro-sinistra) dal 26-6-2024
Data di istituzione,1139 (diritto comunale)
Territorio,Territorio
Coordinate,43°06′42.9″N 12°23′18.77″E
Altitudine,493 m s.l.m.
Superficie,"449,51 km²"
Abitanti,162 379[1] (30-11-2025)
Densità,"361,24 ab./km²"
Frazioni,Vedi sezione
Comuni confinanti,"Assisi, Bastia Umbra, Corciano, Deruta, Gubbio, Magione, Marsciano, Panicale, Piegaro, Torgiano, Umbertide, Valfabbrica"
Altre informazioni,Altre informazioni
Cod. postale,06121–06135
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054039
Cod. catastale,G478
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 289 GG[3]"
Nome abitanti,perugini
Patrono,"san Costanzo,sant'Ercolano,san Lorenzo"
Giorno festivo,29 gennaio
Cartografia,Cartografia
Perugia,Perugia
Perugia – MappaPosizione del comune di Perugia nell'omonima provincia,Perugia – MappaPosizione del comune di Perugia nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
