Città di Castello comune,Città di Castello comune.1
,
Città di Castello – Veduta,Città di Castello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Perugia
Amministrazione,Amministrazione
Sindaco,Luca Secondi (centro-sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,43°27′25.38″N 12°14′17.57″E
Altitudine,288 m s.l.m.
Superficie,"387,32 km²"
Abitanti,37 846[1] (30-11-2025)
Densità,"97,71 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Apecchio (PU), Arezzo (AR), Citerna, Cortona (AR), Mercatello sul Metauro (PU), Monte Santa Maria Tiberina, Monterchi (AR), Montone, Pietralunga, San Giustino, Umbertide, Sansepolcro (AR), Sant'Angelo in Vado (PU)"
Altre informazioni,Altre informazioni
Cod. postale,"06012, 06018"
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,054013
Cod. catastale,C745
Targa,PG
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 347 GG[3]"
Nome abitanti,tifernati o castellani[4]
Patrono,san Florido
Giorno festivo,13 novembre
Cartografia,Cartografia
Città di Castello,Città di Castello
Città di Castello – MappaPosizione del comune di Città di Castello all'interno della provincia di Perugia,Città di Castello – MappaPosizione del comune di Città di Castello all'interno della provincia di Perugia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
